Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,
Ethnicity White,,,,,,,,,,,,,,,
"Summer 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
13
11
2
4
13
1
1
1
3
1
1
5
57
5
2
7
34
34
6
8
14","Sophomore
20
45
51
17
11
28
3
2
5
13
8
9
4
9
225
24
21
6
51
3
140
4
4
151
11
1
63
72
147","Junior
80
201
144
30
24
62
7
8
11
17
23
21
31
19
41
719
62
93
7
162
172
80
111
34
63
132
592
21
170
230
421","Senior
150
312
184
59
47
32
7
11
39
33
18
34
90
14
70
1,100
90
160
5
255
224
3
145
81
102
212
767
6
359
337
702","PB
2
1
1
2
6
1
10
11","Total
251
573
390
109
86
135
15
23
54
58
54
64
130
38
127
2,107
181
276
18
475
399
257
260
115
165
348
1,544
38
1
599
657
1,295",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,29,29,6,6,,,286,
,,,,,,,,43,43,24,24,,,640,
,,,,,,,,59,60,28,28,,,478,
,,,,,,,,14,14,2,2,,,125,
,,,,,,,1,7,8,39,39,,,133,
,,,,,,,,,,,,,,135,
,,,,,,,,19,19,14,14,,,48,
,,,,,,,,7,7,,,,,30,
,,,,,,,,15,15,9,9,,,78,
,,,,,,,,1,1,7,7,,,66,
,,,,,,,,5,5,7,7,,,66,
,,,,,,,1,21,22,9,9,,,95,
,,,,,,,,5,5,8,8,,,143,
,,,,,,,,27,27,20,20,,,85,
,,,,,,,2,61,63,27,27,,,217,
,,,,,,,5,313,318,200,200,,,"2,625",
,,,,,,,2,63,65,3,3,,,249,
,,,,,,,,12,12,,,,,288,
,,,,,,,,15,15,9,9,,,42,
,,,,,,,2,90,92,12,12,,,579,
,,,,,,,,63,63,12,12,,,474,
,,,,,,,1,13,14,,,,,271,
,,,,,,,,94,94,5,5,,,359,
,,,,,,,,26,26,2,2,,,143,
,,,,,,,,16,16,8,8,,,189,
,,,,,,,,24,24,6,6,,,378,
,,,,,,,1,236,237,33,33,,,"1,814",
,,,,,,,,,,,,,,38,
,,,,,,,14,69,83,174,174,,,258,
,,,,,,,7,79,86,78,78,,,164,
,,,,,,,3,41,44,24,24,,,667,
,,,,,,,39,74,113,48,48,,,818,
,,,,,,,63,263,326,324,324,,,"1,945",
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,